formula,bg,formation_energy,mp-id
Ag10Cu2As6O22,1.923583,,
La1Ba2Ag5S6,2.328891,,
Y1Ba2Ag5S6,2.316321,,
Bi4Ag20O16,2.390619,,
Ag5P1S4Cl2,2.535568,,
Hg4Ag5P8Cl5,2.033874,,
Cs4Se12Ag20,0.53034,,
Cs4Te12Ag20,0.56511,,
Ag20Ge4O16,1.671092,,
Ag10Hg2Sb2O12,0.572211,,
I2Ag10O12,1.033536,,
Ag10O8P2Se2,1.367863,,
Ag10O8P2Te2,1.377387,,
Ag20Si4O16,1.451024,,
Sb2Ag10S8,1.5964809999999992,,
Ag6Mo2Cl1F3O7,3.122620999999999,,
Ag12Cr2Si2O16,0.737362,,
Ag12S2Ge2O16,0.698811,,
Ag6O2,0.1072539999999999,,
Ag12Si4O14,1.332624,,
Ag12S2Si2O16,1.03198,,
Ag7Zr6F31,4.836982,,
Ag14Ta2S12,1.687763,,
Ag16Ge2Se12,0.671720999999999,,
Ag16Sn2Se12,0.757444,,
Ag9I1Ge2O8,0.554334,,
B1Al3N4,4.636373,,
Ba10Al6F38,9.118025,,
Cu4Al4As4O20,4.159026,,
Al1As1,2.153336,,
Al1As1,2.153546,,
K4Na2Al2As4,1.773953,,
Mo2As2Al1Li3O14,4.00795,,
Na6Al2As4,1.593172999999999,,
Ba12Al4As12,1.248015,,
Ca12Al4As12,1.311858,,
As6S10Al2Cl8,3.248365,,
Sr12Al4As12,1.590066,,
Na6Ca6Al2As8,1.552175,,
Li2Al2B28,1.928283,,
Ba2Al2F4O6B2,7.924356,,
Ba2Al2F4B2O6,7.612058,,
Ba1Al1Ge1D1,1.132928,,
Ba1Al1Si1D1,1.134707,,
Ba4Al4D20,3.621291999999999,,
Ba8Al4D28,3.8889739999999993,,
In4Ba8Al4O20,3.35289,,
Ba12Al4P12,1.308713999999999,,
Ba12Sb12Al4,0.983476,,
La6Al2Be2S14,3.035312,,
Bi2Al2Br12,3.565077999999999,,
Bi4S4Cl16Al4,3.758032,,
Bi4Se4Cl16Al4,3.431199,,
Bi4Te4Cl16Al4,2.865216,,
Bi6Al6O18,3.959969,,
Bi4Br2Se4Al2Cl8,1.893011,,
Bi8Te8Br4Cl16Al4,1.516246,,
Te8Sb8Br4Cl16Al4,1.133175,,
Br2Al2O8H12,6.234452,,
Al4Br12S4N4,2.706231,,
Br12Se4Al4N4,2.645221,,
Al4Br12,5.270942,,
Cu2Al2Br8,3.820556,,
Se2Br14Al2,3.155131,,
Al2Nb2Br16,2.508346,,
Sc2Al2O2C2,1.229167,,
Sc2Al2O2C2,2.221806,,
Cl4Al2N2C6H16,6.598181,,
Ca1Al1Si1D1,0.829923,,
Ca4Al4N8Li4,4.019538,,
Al1Ca2S2F2Cl1O12H8,7.135643,,
Ca4Al2F14O2H4,8.893557999999999,,
Ca12Al4N12,3.558871,,
Na6Ca6Al2Sb8,1.002877,,
Sb12Ca12Al4,0.794598,,
Cd2Al2Cl8,3.382704,,
La6Cd2Al2S14,3.42489,,
Al2Ce2O6,3.307839,,
Ce2Al2O6,3.658954,,
Cl2Al2O8H12,6.964871,,
