Material,PBEsol,HSE
Mn4P2S,0.0,0.2854
Mn4P2S,0.0,0.2854
MnPS,0.0,0.2854
MnP2S6,1.0267,2.2592640664
MnP2S8,0.2817,0.7905655534
MnP2S8,0.4338,1.0747703733
MnP2S7,0.8134,1.8190859537000001
MnP4S12,0.0,0.2854
Mn2P3S,0.0,0.2854
MoPS,0.0,0.2854
MoP2S6,0.0,0.2854
MoP2S8,0.0,0.2854
MoP2S8,0.0,0.2854
MoP2S7,0.4335,1.0742019104
MoP4S12,0.4405,1.0874741834
Mo2P3S,0.0,0.2854
Na2PS3,0.0,0.2854
Na2PS3,0.0,0.2854
Na2PS3,2.8742,6.7324424285
Na2PS3,3.0213,7.1395077352
Na2PS3,2.9312,6.8892857318
Na3PS4,2.8384,6.6345102362
Na3PS4,2.1123,4.7442203788
Na3PS4,2.7956000000000003,6.518012959
Na3PS4,2.7807,6.477605827
Na3PS4,2.8779,6.7425892691
Na3PS4,2.5586,5.8844281321
Na4P2S7,2.7142,6.2982044445
Na7P3S11,2.665,6.1664620375
Na7PS6,1.8584,4.1264013322
Na7PS6,1.8267,4.0508359864
NaPS3,1.9182000000000001,4.2698998101
NaPS3,1.4017,3.0714118414
NaPS3,1.7765,3.9318843154
NbPS,0.0,0.2854
NbPS,0.0,0.2854
NbPS6,0.3951,1.0016964857
NbP2S8,1.4108,3.091726397
NbP2S8,1.1843,2.594638206
Nb2PS10,1.3901,3.0455580247
NbPS,0.0,0.2854
NiPS3,0.31370000000000003,0.8496920142000001
NiPS3,0.4451,1.0962052207
NiPS3,0.0,0.2854
NiPS3,0.0,0.2854
NiPS3,0.5098,1.2197870829
Ni2P3S9,0.0,0.2854
Ni2P2S7,0.0,0.2854
Ni3P2S8,0.0,0.2854
Ni3P2S8,0.0636,0.3970456406
Ni3P2S8,0.0,0.2854
Ni3P2S8,0.0,0.2854
Ni3P2S8,0.0,0.2854
NiP2S6,0.3336,0.8866404746000001
NiP2S6,0.48410000000000003,1.1705242525
NiPS,0.0,0.2854
NiPS,0.3287,0.8775298602
Ni4P2S,0.0,0.2854
Ni4P2S,0.0,0.2854
OsPS,0.0,0.2854
OsP2S6,0.0,0.2854
OsP2S7,0.0,0.2854
OsP4S12,0.29,0.80586735
Os2P3S,0.0,0.2854
OsPS,0.9518000000000001,2.1028976021
OsPS,0.0,0.2854
OsPS6,0.0,0.2854
OsP2S8,0.0246,0.3284172353
OsP2S8,0.1203,0.4977622276
Os2PS10,0.637,1.4669837215000001
OsPS,0.0,0.2854
PbPS3,1.9917,4.4479732324
PbPS3,2.1464,4.8289003786
PbPS3,1.3225,2.8958215844
PbPS3,2.1467,4.8296471544
PbPS3,2.0295,4.5402837884
Pb2P3S9,0.645,1.4827183375000001
Pb2P2S7,1.6442,3.6225812765
Pb3P2S8,1.5479,3.4012617901
Pb3P2S8,1.7111,3.7782271069
Pb3P2S8,2.0788,4.6614232578
Pb3P2S8,2.0782,4.6599438741
Pb3P2S8,1.1768,2.5784828246
PbP2S6,0.1842,0.6126052725000001
PbP2S6,0.3214,0.8639723561
PbPS,0.0,0.2854
PbPS,0.3326,0.8847804889
Pb4P2S,0.0,0.2854
Pb4P2S,0.0,0.2854
PbPS,0.0,0.2854
PbP2S6,0.7013,1.5940787832
PbP2S8,0.3498,0.9168205869
PbP2S8,0.2984,0.8213778442
PbP2S7,0.39830000000000004,1.0077190614
PbP4S12,0.0902,0.44415648290000004
Pb2P3S,0.0,0.2854
PdPS3,0.0,0.2854
PdPS3,0.0,0.2854
PdPS3,0.0128,0.3077567462
PdPS3,0.2238,0.6844867173
PdPS3,0.1258,0.5075912685
Pd2P3S9,0.0,0.2854
Pd2P2S7,0.1617,0.5720059654
Pd3P2S8,0.0,0.2854
Pd3P2S8,0.1952,0.6325177574
Pd3P2S8,0.319,0.8595191335
Pd3P2S8,0.3176,0.8569223434000001
Pd3P2S8,0.0,0.2854
PdP2S6,0.6950000000000001,1.5815628375
PdP2S6,0.8739,1.9423333199
PdPS,0.0,0.2854
PdPS,0.9407000000000001,2.079890091
Pd4P2S,0.0,0.2854
Pd4P2S,0.0,0.2854
PdPS,0.0,0.2854
PdP2S6,1.2085,2.6468993354
PdP2S8,0.7981,1.7881188263
PdP2S8,0.8289000000000001,1.8505407089
PdP2S7,1.0219,2.2491848723
PdP4S12,0.0,0.2854
Pd2P3S,0.0,0.2854
PtPS3,0.0,0.2854
PtPS3,0.0391,0.3538712885
PtPS3,0.0,0.2854
PtPS3,0.7921,1.7759970281
PtPS3,0.1216,0.5000845082
Pt2P3S9,0.0,0.2854
Pt2P2S7,0.40900000000000003,1.0278828535
Pt3P2S8,0.0,0.2854
Pt3P2S8,0.0356,0.347720527
Pt3P2S8,0.2605,0.7515899534
Pt3P2S8,0.26080000000000003,0.7521404070000001
Pt3P2S8,0.0,0.2854
PtP2S6,1.1746,2.5737476153000003
PtP2S6,1.383,3.0297567415
PtPS,0.0,0.2854
PtPS,1.5349,3.3716313347
Pt4P2S,0.0,0.2854
Pt4P2S,0.0,0.2854
PtPS,0.0,0.2854
PtP2S6,1.6727,3.6886979178
PtP2S7,1.456,3.193055296
PtP4S12,0.020900000000000002,0.3219337465
Pt2P3S,0.0,0.2854
PtPS,0.0,0.2854
PtPS,0.33380000000000004,0.8870125133000001
PtP2S8,1.0915,2.3961156854
PtP2S8,1.0695000000000001,2.3494903484
Pt2PS10,0.8642000000000001,1.9224875045
PtPS,0.0,0.2854
Rb2PS3,0.22340000000000002,0.6837579217
Rb2PS3,0.31170000000000003,0.8459862004
Rb2PS3,2.8998,6.8027448669
Rb2PS3,2.8431,6.6473418953
Rb3PS4,2.6653000000000002,6.1672627996
Rb3PS4,2.7811,6.4786895759
Rb3PS4,2.3151,5.2537663097
Rb3PS4,2.805,6.5435443375
Rb3PS4,2.3785,5.4159904004
Rb4P2S7,2.5831,5.9490220133000005
Rb7P3S11,2.5417,5.8399929274
Rb7PS6,1.7524000000000002,3.8750887094
Rb7PS6,1.6102,3.5440739709
RbPS3,1.6627,3.6654669988
RbPS3,1.6680000000000001,3.677775064
RbPS3,1.9557,4.360519372
RePS,0.0,0.2854
ReP2S6,0.31770000000000004,0.8571078058
ReP2S8,0.0,0.2854
ReP2S8,0.1144,0.487230017
ReP2S7,0.0,0.2854
ReP4S12,0.0,0.2854
Re2P3S,0.0,0.2854
RhPS4,1.1881,2.6028310492999998
Rh2P4S13,1.092,2.397177304
RhPS3,0.0,0.2854
RhP2S7,0.0,0.2854
Rh2P3S9,1.0018,2.2070650821
RhPS,0.5854,1.3660290233
RhPS4,0.9618000000000001,2.1236616981
RhPS4,1.0544,2.317585609
Rh5P3S3,0.0,0.2854
RhPS,0.0,0.2854
RhPS,1.4803,3.2478238036000002
RhPS,1.21,2.65014535
RhPS4,0.0,0.2854
RhPS4,0.9823000000000001,2.1663365758
RhPS4,0.5396000000000001,1.2771959158000001
Rh2PS,0.0,0.2854
RuPS4,0.19920000000000002,0.639769071
Ru2P4S13,0.28450000000000003,0.7957249334000001
RuP2S7,0.0,0.2854
Ru2P3S9,0.0,0.2854
RuPS,0.6396000000000001,1.4720950358
RuPS4,0.0,0.2854
RuPS4,0.0,0.2854
Ru5P3S3,0.0,0.2854
RuPS,0.0,0.2854
RuPS,0.0,0.2854
RuPS,0.7616,1.7145710362000002
RuPS4,0.0,0.2854
RuPS4,0.6039,1.4021177789000001
RuPS4,0.0,0.2854
Ru2PS,0.0,0.2854
SbP3S9,0.9663,2.1330168622
SbPS4,1.7527,3.8757944698
Sb2P4S13,2.0079,4.4874741881
SbPS3,0.0511,0.3749918849
SbP2S7,0.0,0.2854
Sb2P3S9,1.2086999999999999,2.6473320922
SbPS,0.040100000000000004,0.3556294297
SbPS4,1.7908,3.965679885
SbPS4,1.6129,3.5502937121
Sb5P3S3,0.0,0.2854
SbPS,0.059500000000000004,0.38980603340000003
SbPS,0.0,0.2854
SbPS,0.4106,1.0309014145
SbPS4,0.756,1.703327896
SbPS4,1.4247,3.1228117906
Sb2PS,0.0,0.2854
SbPS,0.053200000000000004,0.37869312660000004
SbPS,0.0,0.2854
SbPS6,0.5481,1.2936274013
SbP2S8,0.5357000000000001,1.2696651540000001
SbP2S8,1.2838,2.8108134333
Sb2PS10,1.3275000000000001,2.9068424594
SbPS,0.0,0.2854
SbPS4,0.4299,1.0673827907
ScPS4,1.7776,3.9344814554000003
Sc2P4S13,2.1487,4.8346264582
ScP2S7,0.1527,0.5558154298
Sc2P3S9,1.3105,2.8694068784
ScPS,0.12510000000000002,0.5063397167
ScPS4,1.465,3.2133160375
ScPS4,1.6797,3.7049802076000002
Sc5P3S3,1.4475,3.1739459594
ScPS,0.5329,1.2642617081
ScPS,1.1835,2.5929140353999998
ScPS,0.38780000000000003,0.9879707837
ScPS4,1.4123,3.0950777088
ScPS4,1.3714,3.0039781961
ScPS4,1.4434,3.1647374777
Sc2PS,0.0,0.2854
SrPS3,2.7435,6.3770598554
SrPS3,3.0204,7.1369943638
SrPS3,2.6063,6.0103804662
SrPS3,3.0129,7.1160605321
SrPS3,3.0157,7.1238735460000004
Sr2P3S9,1.6501000000000001,3.6362454467000003
Sr2P2S7,2.457,5.6187841015
Sr3P2S8,1.3302,2.9127973389
Sr3P2S8,2.1517,4.8420980164
Sr3P2S8,2.5175,5.7765363844
Sr3P2S8,2.512,5.762142784
Sr3P2S8,2.291,5.1924665535
SrP2S6,1.8591000000000002,4.1280739025
SrP2S6,1.3296999999999999,2.9116943926000003
SrPS,0.0,0.2854
SrPS,1.4175,3.1067016344
Sr4P2S,1.5674000000000001,3.4458174289
Sr4P2S,1.5711,3.4542864689
SnPS3,1.2477,2.7319849228
SnPS3,1.6796,3.7047474838000003
SnPS3,1.2296,2.6926316938
SnPS3,1.5893000000000002,3.496014144
SnPS3,1.5203,3.3384239676
Sn2P3S9,0.4793,1.161348813
Sn2P2S7,1.3385,2.9311189204
Sn3P2S8,1.4348,3.1454410754
Sn3P2S8,1.3604,2.9795761558000002
Sn3P2S8,1.7496,3.8685031178
Sn3P2S8,1.7468,3.8619202466
Sn3P2S8,0.2886,0.8032846481
SnP2S6,1.115,2.4461055375000003
SnP2S6,1.2072,2.6440867542
SnPS,0.0,0.2854
SnPS,0.1655,0.5788504084
Sn4P2S,0.0,0.2854
Sn4P2S,0.0,0.2854
SnPS,0.0,0.2854
SnP2S6,1.6018,3.5247398421
SnP2S8,0.9208000000000001,2.038749423
SnP2S8,0.9676,2.1357207734
SnP2S7,1.3443,2.943936142
SnP4S12,0.8953000000000001,1.9862323426000001
Sn2P3S,0.0,0.2854
TaPS,0.0,0.2854
TaPS,0.0,0.2854
TaPS6,0.6366,1.4661975737000001
TaP2S8,1.1583,2.5387163374
TaP2S8,0.917,2.0309090415
Ta2PS10,1.2124,2.6553405974
