formula,bg,formation_energy,mp-id,fidelity,bg_category
Ca2Rh2Pb3,0.0,-0.0453709,,2,3.0
F6LuHg,0.0,-0.020751,,2,3.0
GaPrPt2,0.0,-0.0511195,,2,3.0
CeTl,0.0,-0.0588986,,2,3.0
Lu3Pt2Tl3,0.0,-0.0663581999999999,,2,3.0
O4InBa2,0.0,-0.0218827,,2,3.0
SrAgTe3Dy,0.6141,-0.0368624,,2,3.0
NOEr6Pb2,0.0,-0.0482823,,2,3.0
GaSnLa,0.0122,-0.0326045,,2,3.0
MnOsIr2,0.0,-0.0582795,,2,3.0
FeIEr,0.0,-0.0357663,,2,3.0
Fe2Co2Y,0.0,-0.0198128999999999,,2,3.0
Pd2Dy3Tl3,0.0,-0.0539968999999999,,2,3.0
K2Ag2Au,0.0,-0.0298067,,2,3.0
Li4O12MnSb2W,0.9715,-0.0143634,,2,3.0
Ir7Pa,0.0,-0.0750115,,2,3.0
O5Se2Zr2Pr2,1.5672,-0.0232448,,2,3.0
ClTcSn3,0.5024,-0.0304805,,2,3.0
F6Na2Er,0.0,-0.0121380999999999,,2,3.0
Sc2GaPt,0.0,-0.0298645999999999,,2,3.0
F6MgBa,0.8621,-0.0111167,,2,3.0
Se4Ag2SnHg,0.0275,-0.031126,,2,3.0
Zr6SnSb2,0.0,-0.033414,,2,3.0
SeBr2Y2,0.0,-0.0248842999999999,,2,3.0
NaSr3Pd,0.0,-0.021079,,2,3.0
RbRh2Bi2,0.0,-0.0493786,,2,3.0
FK3Se,2.289,-0.0116534999999999,,2,3.0
F4IrTl,1.0599,-0.0278986,,2,3.0
NaS6Zr3,0.0,-0.0171576999999999,,2,3.0
MoTcSb,0.0,-0.035749,,2,3.0
H4O10P2Ca2Mn,2.2898,-0.0094356,,2,3.0
Si3Mn2Cu,0.0,-0.013864,,2,3.0
NaBa2Pb2,0.0,-0.0475923,,2,3.0
BRu6U2,0.0,-0.0474825,,2,3.0
CAl2As,0.0,-0.0115124999999999,,2,3.0
YDyBi,0.0,-0.0521462,,2,3.0
Ge2Ba2Pb,0.0,-0.0391901,,2,3.0
Si2CoNd5,0.0,-0.0322918,,2,3.0
FeRh2Ir,0.0,-0.0393412,,2,3.0
MgSn2Pu,0.0,-0.0468685,,2,3.0
AlLuHg2,0.0,-0.0502804,,2,3.0
CdHoPt2,0.0,-0.0558965,,2,3.0
O11FMg3AlSi3K,0.5156,-0.0096739,,2,3.0
LiHfHg2,0.0,-0.0506497,,2,3.0
TiVRu2,0.0,-0.0264076,,2,3.0
O8As2Ag3,0.0,-0.0148655,,2,3.0
GaPdPa,0.0,-0.0502132999999999,,2,3.0
