formula,bg,formation_energy,mp-id,fidelity,bg_category
HAlSiNp,0.0,-0.0321443,,3,3.0
SrErPb,0.0,-0.0500702,,3,3.0
Cu4LaAu,0.0,-0.0291378,,3,3.0
Cu2Zn2Cd,0.0,-0.0175786,,3,3.0
B2CNp,0.0,-0.0332089,,3,3.0
O2KSb,2.1481,-0.0161688,,3,3.0
S2LuTl,1.5197,-0.0384112999999999,,3,3.0
NbHgBi,0.0,-0.059997,,3,3.0
LiO7P2Co,2.0862,-0.0098882,,3,3.0
B4MoDy,0.328,-0.0194077,,3,3.0
SbNp2,0.0,-0.0836914,,3,3.0
AlTiNiRu,0.0,-0.0195165,,3,3.0
Rh2DyPu,0.0,-0.0569514,,3,3.0
Sc2AgHg,0.0,-0.0325399,,3,3.0
BrRhSm,0.0,-0.0339473,,3,3.0
P3Mn4As,0.0,-0.0161291,,3,3.0
RuSn2Lu,0.0,-0.0410531,,3,3.0
F6RuBa,0.5263,-0.0148004,,3,3.0
Li2O3Ge,4.314,-0.0092310999999999,,3,3.0
NiW2Pt,0.0,-0.0565532,,3,3.0
Y3CdIr2,0.0,-0.0435353,,3,3.0
Au2Hg2Tl,0.0,-0.0693833,,3,3.0
LiSc2Cd,0.0,-0.0155047,,3,3.0
Na2As2Sr,0.0,-0.0149543,,3,3.0
AgSnBa2,0.0,-0.0370795,,3,3.0
F8K2CaTh,7.605,-0.0164369,,3,3.0
ZnIn5Pu,0.0,-0.0416049999999999,,3,3.0
F4Sc,4.2394,-0.0089558,,3,3.0
Co,0.0,-0.0173043,,3,3.0
HRbCs2,0.0,-0.0250165,,3,3.0
Si2Ni3Pu,0.0,-0.0302349,,3,3.0
Co2Y2Ag,0.0,-0.0244355,,3,3.0
Sn2Hf6Pt,0.0,-0.0581925,,3,3.0
MgZrRu2,0.0,-0.0267244,,3,3.0
MgCo2Re,0.0,-0.0275009,,3,3.0
Co3Tb2Os,0.0,-0.0363483999999999,,3,3.0
NInTm2,0.0,-0.0378703,,3,3.0
GaTe2Pm,0.0,-0.0346169,,3,3.0
B2N4Er3,0.0,-0.0242739,,3,3.0
Pd3Ce,0.0,-0.0365563999999999,,3,3.0
Ni3Te4,0.0,-0.0284477,,3,3.0
Co2Hf2Tl,0.0,-0.0467154,,3,3.0
Na2P2Np,0.0,-0.0277518,,3,3.0
F7Na3Mn,2.0369,-0.0079001,,3,3.0
SFeSb,0.8612,-0.0219859,,3,3.0
BrPtPb2,0.0,-0.0607079,,3,3.0
Zn7Tc,0.0,-0.0162633,,3,3.0
Al3FeGe2Ho3,0.0,-0.0258842,,3,3.0
N3SrRh,0.0,-0.0170915,,3,3.0
NiZr2Rh,0.0,-0.0285651,,3,3.0
AuTlPb,0.0,-0.0724856,,3,3.0
Ni4MoTc,0.0,-0.0224339,,3,3.0
Ge2SrSn2,0.0,-0.0267256,,3,3.0
O3KI,2.7729,-0.0138059,,3,3.0
F6BrAu,2.5026,-0.0147512,,3,3.0
Ag2Cd3Th,0.0,-0.041782,,3,3.0
BSnTb3,0.0,-0.0372627,,3,3.0
AgSb5,0.0,-0.0362008999999999,,3,3.0
AlMnAu2,0.0,-0.0416515,,3,3.0
GaCe2Ir2,0.0,-0.0504625,,3,3.0
B4In5Ir9,0.0,-0.0467556,,3,3.0
Ge2Nb2Hf,0.0,-0.0340858,,3,3.0
Ga2SnTe,0.0109,-0.0266064,,3,3.0
Li3O8Si2Ni2,0.0153,-0.0095091,,3,3.0
O3BaEu,0.0,-0.0250155,,3,3.0
KGe2Pt,0.0,-0.0296619999999999,,3,3.0
LiF6K2Pb,0.0,-0.0142467,,3,3.0
Rb2CsAu2,0.0,-0.0438267,,3,3.0
CaBr6Cs2,0.0,-0.0240184,,3,3.0
ZnRh2Dy2,0.0,-0.0362343,,3,3.0
NiCu2Au,0.0,-0.0289377,,3,3.0
ZrRhCd2,0.0,-0.0317302,,3,3.0
MgPbBi,0.0,-0.0532025999999999,,3,3.0
OK3I,1.5467,-0.0150023,,3,3.0
FeCo2Ge,0.0,-0.0182484,,3,3.0
BeAlTa2,0.0,-0.0364799,,3,3.0
NNiHf2,0.0,-0.0388864,,3,3.0
ZnHoPt,0.0,-0.0453937,,3,3.0
S3Zr2,0.0,-0.0199041,,3,3.0
Ru2Lu,0.0,-0.0421086,,3,3.0
NaSRb,3.0116,-0.0127998,,3,3.0
Rb2Ag2Au,0.0,-0.0347498999999999,,3,3.0
ZrPdSb,0.0,-0.0344402,,3,3.0
Fe2As2Sm,0.0,-0.0248355,,3,3.0
AgSn2Tl2,0.0,-0.0494667,,3,3.0
B5Ca2Re3,0.0,-0.0272737,,3,3.0
CaInPt4,0.0,-0.0547220999999999,,3,3.0
CuInHo,0.0,-0.0330528,,3,3.0
Co4InPu,0.0,-0.0354303,,3,3.0
